21/03/2026 05:18:57 | WARNING  | encuesta_api |    ✗ Campo 'body → encuestado → estrato': Value error, El estrato '10' no es válido. En Colombia los estratos son del 1 al 6. (recibido: 10)
21/03/2026 05:18:57 | WARNING  | encuesta_api |    ✗ Campo 'body → encuestado → departamento': Value error, 'NARNIA' no es un departamento válido de Colombia. Ejemplo de valores válidos: ANTIOQUIA, CUNDINAMARCA, BOGOTÁ D.C. (recibido: NARNIA)
21/03/2026 05:18:57 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:57 → listar_encuestas()
21/03/2026 05:18:57 | INFO     | encuesta_api | [OK]       listar_encuestas() completado en 0.6ms
21/03/2026 05:18:57 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:57 → crear_encuesta()
21/03/2026 05:18:57 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.7ms
21/03/2026 05:18:57 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:57 → listar_encuestas()
21/03/2026 05:18:57 | INFO     | encuesta_api | [OK]       listar_encuestas() completado en 0.6ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → crear_encuesta()
21/03/2026 05:18:58 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.6ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → obtener_encuesta()
21/03/2026 05:18:58 | INFO     | encuesta_api | [OK]       obtener_encuesta() completado en 0.6ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → obtener_encuesta()
21/03/2026 05:18:58 | ERROR    | encuesta_api | [ERROR]    obtener_encuesta() falló en 0.8ms → 404: No existe ninguna encuesta con ID 'uuid-que-no-existe'.
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → crear_encuesta()
21/03/2026 05:18:58 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.7ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → actualizar_encuesta()
21/03/2026 05:18:58 | INFO     | encuesta_api | [OK]       actualizar_encuesta() completado en 0.7ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → actualizar_encuesta()
21/03/2026 05:18:58 | ERROR    | encuesta_api | [ERROR]    actualizar_encuesta() falló en 0.6ms → 404: No existe ninguna encuesta con ID 'no-existe'.
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → crear_encuesta()
21/03/2026 05:18:58 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.7ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → eliminar_encuesta()
21/03/2026 05:18:58 | INFO     | encuesta_api | [OK]       eliminar_encuesta() completado en 0.5ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → eliminar_encuesta()
21/03/2026 05:18:58 | ERROR    | encuesta_api | [ERROR]    eliminar_encuesta() falló en 0.7ms → 404: No existe ninguna encuesta con ID 'no-existe'.
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → estadisticas()
21/03/2026 05:18:58 | INFO     | encuesta_api | [TIMER]   estadisticas: 0.04ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [OK]       estadisticas() completado en 1.1ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → crear_encuesta()
21/03/2026 05:18:58 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.6ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:58 → estadisticas()
21/03/2026 05:18:58 | INFO     | encuesta_api | [TIMER]   estadisticas: 0.09ms
21/03/2026 05:18:58 | INFO     | encuesta_api | [OK]       estadisticas() completado en 1.0ms
21/03/2026 05:19:14 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:19:14 → crear_encuesta()
21/03/2026 05:19:14 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.9ms
21/03/2026 05:19:14 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:19:14 → crear_encuesta()
21/03/2026 05:19:14 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.6ms
21/03/2026 05:19:14 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:19:14 → exportar_encuestas()
21/03/2026 05:19:14 | INFO     | encuesta_api | [OK]       exportar_encuestas() completado en 8.7ms
21/03/2026 05:19:14 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:19:14 → exportar_encuestas()
21/03/2026 05:19:14 | INFO     | encuesta_api | [OK]       exportar_encuestas() completado en 0.8ms
21/03/2026 05:19:14 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:19:14 → exportar_encuestas()
21/03/2026 05:19:15 | INFO     | encuesta_api | [OK]       exportar_encuestas() completado en 481.8ms
21/03/2026 05:19:15 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:19:15 → exportar_encuestas()
21/03/2026 05:19:15 | INFO     | encuesta_api | [OK]       exportar_encuestas() completado en 0.6ms
21/03/2026 05:19:15 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:19:15 → exportar_encuestas()
21/03/2026 05:19:15 | INFO     | encuesta_api | [OK]       exportar_encuestas() completado en 0.8ms
21/03/2026 05:19:15 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:19:15 → exportar_encuestas()
21/03/2026 05:19:15 | INFO     | encuesta_api | [OK]       exportar_encuestas() completado en 0.7ms
21/03/2026 05:19:15 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:19:15 → exportar_encuestas()
21/03/2026 05:19:15 | ERROR    | encuesta_api | [ERROR]    exportar_encuestas() falló en 0.7ms → 400: Formato 'pdf' no soportado. Use: csv, json, md, txt, xlsx, xml
